understat_match_id,kickoff_date,home,away,understat_id,understat_name,team,us_minutes,us_npxg,us_xg_chain,us_xg_buildup,us_shots,us_sot,us_shots_six_yard,us_shots_penalty_area,us_shots_out_of_box,us_shots_foot,us_shots_head
28779,2025-08-16,AVL,NEW,7723,John McGinn,AVL,84,0.0,0.0,0.0,0,0,0,0,0,0,0
28779,2025-08-16,AVL,NEW,5956,Youri Tielemans,AVL,90,0.0,0.0799555703997612,0.0799555703997612,0,0,0,0,0,0,0
28779,2025-08-16,AVL,NEW,12412,Morgan Rogers,AVL,90,0.0,0.0799555703997612,0.0,0,0,0,0,0,0,0
28779,2025-08-16,AVL,NEW,8865,Ollie Watkins,AVL,90,0.08,0.14343984425067902,0.0,1,1,0,1,0,1,0
28779,2025-08-16,AVL,NEW,9749,Donyell Malen,AVL,6,0.0635,0.06348427385091782,0.0,1,1,0,1,0,1,0
28779,2025-08-16,AVL,NEW,5552,Nick Pope,NEW,90,0.0,0.04295653477311134,0.04295653477311134,0,0,0,0,0,0,0
28779,2025-08-16,AVL,NEW,652,Kieran Trippier,NEW,90,0.0,0.16439643502235413,0.15859346091747284,0,0,0,0,0,0,0
28779,2025-08-16,AVL,NEW,7382,Dan Burn,NEW,90,0.0,0.49275070428848267,0.49275070428848267,0,0,0,0,0,0,0
28779,2025-08-16,AVL,NEW,76,Fabian Schär,NEW,90,0.0429,0.9825957417488098,0.9623314142227173,3,0,0,0,3,3,0
28779,2025-08-16,AVL,NEW,9512,Valentino Livramento,NEW,90,0.0,0.42574992775917053,0.4112885892391205,0,0,0,0,0,0,0
28779,2025-08-16,AVL,NEW,8327,Bruno Guimarães,NEW,90,0.0,0.1833983212709427,0.1728520393371582,0,0,0,0,0,0,0
28779,2025-08-16,AVL,NEW,7958,Sandro Tonali,NEW,90,0.0,0.6281741857528687,0.11833012849092484,0,0,0,0,0,0,0
28779,2025-08-16,AVL,NEW,87,Joelinton,NEW,83,0.0,1.092918038368225,1.092918038368225,0,0,0,0,0,0,0
28779,2025-08-16,AVL,NEW,9524,Anthony Elanga,NEW,78,0.5691,0.6874323487281799,0.0,2,1,0,2,0,2,0
28779,2025-08-16,AVL,NEW,8150,Anthony Gordon,NEW,90,0.6038,0.5713272094726562,0.0,7,2,0,4,3,6,1
28779,2025-08-16,AVL,NEW,6681,Harvey Barnes,NEW,90,0.1449,0.6845976114273071,0.05925820395350456,3,0,0,1,2,3,0
28779,2025-08-16,AVL,NEW,9556,William Osula,NEW,1,0.0403,0.040263328701257706,0.0,1,0,0,0,1,1,0
28779,2025-08-16,AVL,NEW,6063,Jacob Murphy,NEW,12,0.0,0.06687061488628387,0.06687061488628387,0,0,0,0,0,0,0
28779,2025-08-16,AVL,NEW,11386,Lewis Miley,NEW,7,0.0,0.06687061488628387,0.02660728245973587,0,0,0,0,0,0,0
28780,2025-08-16,BHA,FUL,11711,Bart Verbruggen,BHA,90,0.0,0.0,0.0,0,0,0,0,0,0,0
28780,2025-08-16,BHA,FUL,12758,Mats Wieffer,BHA,90,0.013,0.08075278252363205,0.08075278252363205,1,1,0,1,0,0,1
28780,2025-08-16,BHA,FUL,6048,Lewis Dunk,BHA,90,0.0308,0.22215090692043304,0.22215090692043304,1,0,1,0,0,0,1
28780,2025-08-16,BHA,FUL,10807,Jan Paul van Hecke,BHA,90,0.0,0.08075278252363205,0.08075278252363205,0,0,0,0,0,0,0
