element,web_name,team,position,gw_from_fixture,total_points_6gw,minutes_6gw,starts_last6,personas,flags,persona_count
1,Raya,ARS,GKP,38,32.0,450.0,5,"Sweeper Keeper, Overperformer, Bonus Magnet",,3
2,Arrizabalaga,ARS,GKP,38,2.0,90.0,1,None,Minutes Risk,0
3,Hein,ARS,GKP,38,0.0,0.0,0,None,Minutes Risk,0
4,Setford,ARS,GKP,38,0.0,0.0,0,None,Minutes Risk,0
5,Gabriel,ARS,DEF,38,32.0,495.0,5,"Reliable Shieldwall, Scoring Defender, Bonus Magnet",,3
6,Saliba,ARS,DEF,38,29.0,450.0,5,"Reliable Shieldwall, Bonus Magnet",,2
7,Calafiori,ARS,DEF,38,16.0,251.0,4,None,Minutes Risk,0
8,J.Timber,ARS,DEF,38,0.0,0.0,0,None,Minutes Risk,0
9,Kiwior,ARS,DEF,38,0.0,0.0,0,None,Minutes Risk,0
10,Lewis-Skelly,ARS,DEF,38,16.0,296.0,3,None,Minutes Risk,0
11,White,ARS,DEF,38,14.0,215.0,3,None,Minutes Risk,0
12,Zinchenko,NFO,DEF,38,0.0,0.0,0,None,Minutes Risk,0
13,Clarke,ARS,DEF,38,0.0,0.0,0,None,Minutes Risk,0
14,Kacurri,ARS,DEF,38,0.0,0.0,0,None,Minutes Risk,0
15,Nichols,ARS,DEF,38,0.0,0.0,0,None,Minutes Risk,0
16,Saka,ARS,MID,38,24.0,223.0,3,None,Minutes Risk,0
17,Ødegaard,ARS,MID,38,12.0,293.0,3,None,Minutes Risk,0
18,Madueke,ARS,MID,38,17.0,263.0,3,None,Minutes Risk,0
19,Martinelli,ARS,MID,38,9.0,173.0,1,None,Minutes Risk,0
20,Trossard,ARS,MID,38,19.0,286.0,3,None,Minutes Risk,0
21,Rice,ARS,MID,38,17.0,423.0,5,Metronome,,1
22,Merino,ARS,MID,38,1.0,28.0,0,None,Minutes Risk,0
23,Fábio Vieira,ARS,MID,38,0.0,0.0,0,None,Minutes Risk,0
24,Nørgaard,ARS,MID,38,1.0,45.0,1,None,Minutes Risk,0
25,Nwaneri,ARS,MID,38,0.0,0.0,0,None,Minutes Risk,0
26,Zubimendi,ARS,MID,38,14.0,319.0,3,None,Minutes Risk,0
27,Nelson,BRE,MID,38,5.0,18.0,0,None,Minutes Risk,0
28,Kabia,ARS,MID,38,0.0,0.0,0,None,Minutes Risk,0
29,Sambi,ARS,MID,38,0.0,0.0,0,None,Minutes Risk,0
30,Havertz,ARS,FWD,38,23.0,263.0,3,None,Minutes Risk,0
31,G.Jesus,ARS,FWD,38,6.0,100.0,1,None,Minutes Risk,0
32,Martinez,AVL,GKP,38,15.0,450.0,5,"Shot Stopper, Liability",,2
33,M.Bizot,AVL,GKP,38,2.0,90.0,1,None,Minutes Risk,0
34,Gauci,AVL,GKP,38,0.0,0.0,0,None,Minutes Risk,0
35,Marschall,AVL,GKP,38,0.0,0.0,0,None,Minutes Risk,0
36,Cash,AVL,DEF,38,10.0,484.0,5,Emerging Contributor,,1
37,Digne,AVL,DEF,38,10.0,216.0,2,None,Minutes Risk,0
38,Konsa,AVL,DEF,38,5.0,360.0,4,None,Minutes Risk,0
39,Maatsen,AVL,DEF,38,13.0,327.0,4,None,Minutes Risk,0
40,Mings,AVL,DEF,38,6.0,360.0,4,None,Minutes Risk,0
41,Pau,AVL,DEF,38,6.0,197.0,2,None,Minutes Risk,0
42,A.García,AVL,DEF,38,1.0,45.0,1,None,Minutes Risk,0
43,Alex Moreno,AVL,DEF,38,0.0,0.0,0,None,Minutes Risk,0
44,Bogarde,AVL,DEF,38,6.0,245.0,3,None,Minutes Risk,0
45,Sousa,AVL,DEF,38,0.0,0.0,0,None,Minutes Risk,0
46,Yasin,AVL,DEF,38,0.0,0.0,0,None,Minutes Risk,0
47,Rogers,AVL,MID,38,26.0,450.0,5,"Emerging Contributor, Captaincy King, Chaos Merchant, Bonus Magnet",,4
48,Tielemans,AVL,MID,38,13.0,449.0,5,Bonus Magnet,,1
49,Bailey,AVL,MID,38,8.0,116.0,1,None,Minutes Risk,0
50,Buendía,AVL,MID,38,18.0,288.0,3,None,Minutes Risk,0
51,Iling Jr,AVL,MID,38,0.0,0.0,0,None,Minutes Risk,0
52,J.Ramsey,NEW,MID,38,22.0,361.0,4,None,Minutes Risk,0
53,Malen,AVL,MID,38,0.0,0.0,0,None,Minutes Risk,0
54,McGinn,AVL,MID,38,19.0,329.0,4,None,Minutes Risk,0
55,Barkley,AVL,MID,38,19.0,378.0,4,None,Minutes Risk,0
56,Barrenechea,AVL,MID,38,0.0,0.0,0,None,Minutes Risk,0
57,Dobbin,AVL,MID,38,0.0,0.0,0,None,Minutes Risk,0
58,Kamara,AVL,MID,38,0.0,0.0,0,None,Minutes Risk,0
59,Onana,AVL,MID,38,2.0,107.0,1,None,Minutes Risk,0
60,Broggio,AVL,MID,38,0.0,0.0,0,None,Minutes Risk,0
61,Dendoncker,AVL,MID,38,0.0,0.0,0,None,Minutes Risk,0
62,Jimoh-Aloba,AVL,MID,38,0.0,0.0,0,None,Minutes Risk,0
63,Young,AVL,MID,38,0.0,0.0,0,None,Minutes Risk,0
64,Watkins,AVL,FWD,38,56.0,458.0,5,"Goal Machine, Clinical Finisher, Captaincy King, Chaos Merchant, Bonus Magnet",,5
65,Redmond,AVL,FWD,38,0.0,0.0,0,None,Minutes Risk,0
66,Neto,BOU,GKP,38,0.0,0.0,0,None,Minutes Risk,0
67,Petrović,BOU,GKP,38,20.0,540.0,6,Overperformer,Minutes Monster,1
68,Dennis,BOU,GKP,38,0.0,0.0,0,None,Minutes Risk,0
69,McKenna,BOU,GKP,38,0.0,0.0,0,None,Minutes Risk,0
70,Paulsen,BOU,GKP,38,0.0,0.0,0,None,Minutes Risk,0
71,Zabarnyi,BOU,DEF,38,0.0,0.0,0,None,Minutes Risk,0
72,Senesi,BOU,DEF,38,34.0,540.0,6,"Attacking Defender, Defensive Workhorse, Bonus Magnet",Minutes Monster,3
73,Smith,BOU,DEF,38,19.0,268.0,3,None,Minutes Risk,0
74,Truffert,BOU,DEF,38,39.0,540.0,6,"Attacking Defender, Scoring Defender, Bonus Magnet",Minutes Monster,3
75,Akinmboni,BOU,DEF,38,0.0,0.0,0,None,Minutes Risk,0
76,Bevan,BOU,DEF,38,0.0,0.0,0,None,Minutes Risk,0
77,Hill,BOU,DEF,38,25.0,540.0,6,"Defensive Workhorse, Budget Enabler, Bonus Magnet",Minutes Monster,3
78,J.Araujo,BOU,DEF,38,0.0,0.0,0,None,Minutes Risk,0
79,Mepham,BOU,DEF,38,0.0,0.0,0,None,Minutes Risk,0
80,Soler,BOU,DEF,38,0.0,0.0,0,None,Minutes Risk,0
81,Kluivert,BOU,MID,38,1.0,31.0,0,None,Minutes Risk,0
82,Semenyo,MCI,MID,38,24.0,430.0,6,"Captaincy King, Bonus Magnet",,2
83,O.Dango,BRE,MID,38,28.0,471.0,5,"Goal Machine, xGI Beast, Captaincy King, Chaos Merchant, Bonus Magnet",,5
84,Tavernier,BOU,MID,38,26.0,520.0,6,"Goal Machine, Creative Wizard, Emerging Contributor, Captaincy King, Bonus Magnet",Minutes Monster,5
85,Adams,BOU,MID,38,16.0,337.0,3,None,Minutes Risk,0
86,Brooks,BOU,MID,38,10.0,127.0,1,None,Minutes Risk,0
87,Christie,BOU,MID,38,3.0,198.0,3,None,Minutes Risk,0
88,Cook,BOU,MID,38,2.0,2.0,0,None,Minutes Risk,0
89,Philip,BOU,MID,38,0.0,0.0,0,None,Minutes Risk,0
90,Scott,BOU,MID,38,16.0,450.0,5,"Defensive Contributor, Metronome, Bonus Magnet",,3
91,Sinisterra,BOU,MID,38,0.0,0.0,0,None,Minutes Risk,0
92,Faivre,BOU,MID,38,0.0,0.0,0,None,Minutes Risk,0
93,H.Traorè,BOU,MID,38,0.0,0.0,0,None,Minutes Risk,0
94,Sadi,BOU,MID,38,0.0,0.0,0,None,Minutes Risk,0
95,Silcott-Duberry,BOU,MID,38,0.0,0.0,0,None,Minutes Risk,0
96,Winterburn,BOU,MID,38,0.0,0.0,0,None,Minutes Risk,0
97,Evanilson,BOU,FWD,38,16.0,459.0,6,"Goal Machine, Wasteful Striker, xGI Beast, Metronome",,4
98,Enes Ünal,BOU,FWD,38,5.0,40.0,0,None,Minutes Risk,0
99,Adu-Adjei,BOU,FWD,38,0.0,0.0,0,None,Minutes Risk,0
100,Kroupi.Jr,BOU,FWD,38,28.0,431.0,6,"Goal Machine, Clinical Finisher, Captaincy King, Bonus Magnet",,4
101,Kelleher,BRE,GKP,38,27.0,540.0,6,"Shot Stopper, Overperformer, Bonus Magnet",Minutes Monster,3
102,Balcombe,BRE,GKP,38,0.0,0.0,0,None,Minutes Risk,0
103,Cox,BRE,GKP,38,0.0,0.0,0,None,Minutes Risk,0
104,Eyestone,BRE,GKP,38,0.0,0.0,0,None,Minutes Risk,0
105,Valdimarsson,BRE,GKP,38,0.0,0.0,0,None,Minutes Risk,0
106,Collins,BRE,DEF,38,21.0,540.0,6,"Defensive Workhorse, Bonus Magnet",Minutes Monster,2
107,Lewis-Potter,BRE,DEF,38,25.0,538.0,6,"Attacking Defender, Scoring Defender, Bonus Magnet",Minutes Monster,3
108,Ajer,BRE,DEF,38,6.0,181.0,2,None,Minutes Risk,0
109,Henry,BRE,DEF,38,0.0,0.0,0,None,Minutes Risk,0
110,Kayode,BRE,DEF,38,17.0,540.0,6,None,Minutes Monster,0
111,Pinnock,BRE,DEF,38,0.0,0.0,0,None,Minutes Risk,0
112,Roerslev,BRE,DEF,38,0.0,0.0,0,None,Minutes Risk,0
113,Van den Berg,BRE,DEF,38,20.0,368.0,4,None,Minutes Risk,0
114,Arthur,BRE,DEF,38,0.0,0.0,0,None,Minutes Risk,0
115,Fredrick,BRE,DEF,38,0.0,0.0,0,None,Minutes Risk,0
116,Hickey,BRE,DEF,38,4.0,91.0,1,None,Minutes Risk,0
117,Ji-soo,BRE,DEF,38,0.0,0.0,0,None,Minutes Risk,0
118,Meghoma,BRE,DEF,38,0.0,0.0,0,None,Minutes Risk,0
119,Mbeumo,MUN,MID,38,25.0,400.0,5,"Goal Machine, Wasteful Striker, xGI Beast, Captaincy King",,4
120,Schade,BRE,MID,38,18.0,448.0,5,"Goal Machine, Metronome",,2
121,Damsgaard,BRE,MID,38,25.0,435.0,5,"Creative Wizard, Captaincy King, Bonus Magnet",,3
122,Milambo,BRE,MID,38,0.0,0.0,0,None,Minutes Risk,0
123,Carvalho,BRE,MID,38,0.0,0.0,0,None,Minutes Risk,0
124,Henderson,BRE,MID,38,1.0,97.0,1,None,Minutes Risk,0
125,Janelt,BRE,MID,38,4.0,181.0,2,None,Minutes Risk,0
126,Jensen,BRE,MID,38,24.0,504.0,6,"Creative Wizard, Captaincy King, Bonus Magnet",,3
127,Nunes,BRE,MID,38,0.0,0.0,0,None,Minutes Risk,0
128,Onyeka,BRE,MID,38,0.0,0.0,0,None,Minutes Risk,0
129,Yarmoliuk,BRE,MID,38,20.0,436.0,5,Bonus Magnet,,1
130,Donovan,BRE,MID,38,0.0,0.0,0,None,Minutes Risk,0
131,Konak,BRE,MID,38,0.0,0.0,0,None,Minutes Risk,0
132,Maghoma,BRE,MID,38,0.0,0.0,0,None,Minutes Risk,0
133,Peart-Harris,BRE,MID,38,0.0,0.0,0,None,Minutes Risk,0
134,Trevitt,BRE,MID,38,0.0,0.0,0,None,Minutes Risk,0
135,Wissa,NEW,FWD,38,6.0,94.0,0,None,Minutes Risk,0
136,Thiago,BRE,FWD,38,15.0,540.0,6,"Goal Machine, Metronome",Minutes Monster,2
137,Morgan,BRE,FWD,38,0.0,0.0,0,None,Minutes Risk,0
138,Steele,BHA,GKP,38,0.0,0.0,0,None,Minutes Risk,0
139,Verbruggen,BHA,GKP,38,20.0,540.0,6,Liability,Minutes Monster,1
140,McGill,BHA,GKP,38,0.0,0.0,0,None,Minutes Risk,0
141,Rushworth,BHA,GKP,38,0.0,0.0,0,None,Minutes Risk,0
142,Scherpen,BHA,GKP,38,0.0,0.0,0,None,Minutes Risk,0
143,Boscagli,BHA,DEF,38,8.0,270.0,3,None,Minutes Risk,0
144,Coppola,BHA,DEF,38,0.0,0.0,0,None,Minutes Risk,0
