element,web_name,team,position,opponent_tier,games_played,avg_pts,avg_xg,avg_xa,total_goals,total_assists,total_cs,avg_bonus
338,Muniz,FUL,FWD,Tier 1 - Top 6,12,0.5,0.068,0.005,0,0,0,0.0
338,Muniz,FUL,FWD,Tier 2 - Mid Upper,10,1.8,0.125,0.002,1,1,2,0.3
338,Muniz,FUL,FWD,Tier 3 - Rest,16,0.75,0.077,0.004,0,0,1,0.0
341,Darlow,LEE,GKP,Tier 1 - Top 6,12,1.0,0.0,0.002,0,0,0,0.0
341,Darlow,LEE,GKP,Tier 2 - Mid Upper,11,2.64,0.0,0.001,0,0,3,0.27
341,Darlow,LEE,GKP,Tier 3 - Rest,17,2.24,0.0,0.001,0,0,3,0.0
343,Struijk,LEE,DEF,Tier 1 - Top 6,12,2.42,0.088,0.013,0,1,1,0.08
343,Struijk,LEE,DEF,Tier 2 - Mid Upper,11,2.91,0.073,0.023,0,0,3,0.09
343,Struijk,LEE,DEF,Tier 3 - Rest,17,3.35,0.081,0.021,0,0,4,0.18
344,Bijol,LEE,DEF,Tier 1 - Top 6,12,3.17,0.027,0.015,1,0,1,0.25
344,Bijol,LEE,DEF,Tier 2 - Mid Upper,11,3.18,0.009,0.01,0,1,3,0.27
344,Bijol,LEE,DEF,Tier 3 - Rest,17,2.12,0.032,0.027,0,2,2,0.0
348,Rodon,LEE,DEF,Tier 1 - Top 6,12,1.17,0.012,0.011,0,0,0,0.0
348,Rodon,LEE,DEF,Tier 2 - Mid Upper,11,3.45,0.054,0.02,1,0,3,0.09
348,Rodon,LEE,DEF,Tier 3 - Rest,17,3.41,0.04,0.017,1,0,3,0.24
350,Aaronson,LEE,MID,Tier 1 - Top 6,12,2.83,0.092,0.047,1,3,1,0.0
350,Aaronson,LEE,MID,Tier 2 - Mid Upper,11,3.45,0.103,0.037,2,2,3,0.18
350,Aaronson,LEE,MID,Tier 3 - Rest,17,3.59,0.137,0.161,1,4,6,0.18
354,Ampadu,LEE,MID,Tier 1 - Top 6,12,3.0,0.067,0.035,0,1,1,0.25
354,Ampadu,LEE,MID,Tier 2 - Mid Upper,11,3.55,0.055,0.064,0,2,3,0.36
354,Ampadu,LEE,MID,Tier 3 - Rest,17,4.18,0.093,0.066,1,2,5,0.35
358,Tanaka,LEE,MID,Tier 1 - Top 6,12,2.5,0.074,0.068,2,0,0,0.25
358,Tanaka,LEE,MID,Tier 2 - Mid Upper,11,1.36,0.007,0.035,0,0,1,0.0
358,Tanaka,LEE,MID,Tier 3 - Rest,17,1.59,0.029,0.022,0,1,3,0.06
373,Virgil,LIV,DEF,Tier 1 - Top 6,10,2.6,0.064,0.019,0,0,2,0.2
373,Virgil,LIV,DEF,Tier 2 - Mid Upper,10,5.2,0.083,0.031,3,0,2,0.0
373,Virgil,LIV,DEF,Tier 3 - Rest,18,5.39,0.128,0.052,3,1,6,0.44
374,Konaté,LIV,DEF,Tier 1 - Top 6,10,2.3,0.001,0.025,0,0,2,0.0
374,Konaté,LIV,DEF,Tier 2 - Mid Upper,10,3.3,0.049,0.009,1,0,2,0.3
374,Konaté,LIV,DEF,Tier 3 - Rest,18,4.06,0.038,0.036,0,0,6,0.28
384,Gakpo,LIV,MID,Tier 1 - Top 6,10,3.4,0.305,0.086,3,0,3,0.0
384,Gakpo,LIV,MID,Tier 2 - Mid Upper,10,3.4,0.139,0.145,1,2,1,0.2
384,Gakpo,LIV,MID,Tier 3 - Rest,18,3.5,0.217,0.131,3,3,6,0.17
386,Mac Allister,LIV,MID,Tier 1 - Top 6,10,2.4,0.033,0.043,0,1,2,0.1
386,Mac Allister,LIV,MID,Tier 2 - Mid Upper,10,2.3,0.115,0.04,0,2,2,0.0
386,Mac Allister,LIV,MID,Tier 3 - Rest,18,3.39,0.134,0.048,2,2,3,0.44
387,Szoboszlai,LIV,MID,Tier 1 - Top 6,10,5.7,0.132,0.145,4,1,2,1.0
387,Szoboszlai,LIV,MID,Tier 2 - Mid Upper,10,5.1,0.113,0.196,1,4,2,0.8
387,Szoboszlai,LIV,MID,Tier 3 - Rest,18,2.89,0.128,0.19,1,2,5,0.17
388,C.Jones,LIV,MID,Tier 1 - Top 6,10,1.3,0.024,0.075,0,1,0,0.0
388,C.Jones,LIV,MID,Tier 2 - Mid Upper,10,2.8,0.098,0.043,1,0,1,0.5
388,C.Jones,LIV,MID,Tier 3 - Rest,18,2.22,0.055,0.088,0,2,2,0.06
390,Gravenberch,LIV,MID,Tier 1 - Top 6,10,3.2,0.043,0.063,1,1,2,0.3
390,Gravenberch,LIV,MID,Tier 2 - Mid Upper,10,3.5,0.052,0.05,2,0,2,0.5
390,Gravenberch,LIV,MID,Tier 3 - Rest,18,4.28,0.052,0.063,2,4,5,0.5
406,Khusanov,MCI,DEF,Tier 1 - Top 6,11,3.64,0.04,0.026,0,0,4,0.27
406,Khusanov,MCI,DEF,Tier 2 - Mid Upper,11,1.09,0.005,0.076,0,0,1,0.0
406,Khusanov,MCI,DEF,Tier 3 - Rest,20,1.8,0.014,0.016,0,0,3,0.15
407,Matheus N.,MCI,DEF,Tier 1 - Top 6,11,3.45,0.0,0.035,0,3,3,0.18
407,Matheus N.,MCI,DEF,Tier 2 - Mid Upper,11,2.18,0.003,0.027,0,0,2,0.0
407,Matheus N.,MCI,DEF,Tier 3 - Rest,20,5.45,0.015,0.086,1,6,9,0.7
414,Foden,MCI,MID,Tier 1 - Top 6,11,2.27,0.068,0.032,1,0,3,0.18
414,Foden,MCI,MID,Tier 2 - Mid Upper,11,2.64,0.179,0.171,0,3,2,0.27
414,Foden,MCI,MID,Tier 3 - Rest,20,4.55,0.199,0.156,6,4,7,0.55
415,Savinho,MCI,MID,Tier 1 - Top 6,11,0.55,0.016,0.007,0,0,0,0.0
415,Savinho,MCI,MID,Tier 2 - Mid Upper,11,1.73,0.065,0.059,1,0,2,0.09
415,Savinho,MCI,MID,Tier 3 - Rest,20,1.5,0.112,0.05,1,2,2,0.05
416,Bernardo,MCI,MID,Tier 1 - Top 6,11,3.45,0.125,0.166,1,3,4,0.09
416,Bernardo,MCI,MID,Tier 2 - Mid Upper,11,1.82,0.069,0.054,0,0,2,0.0
416,Bernardo,MCI,MID,Tier 3 - Rest,20,2.9,0.056,0.102,1,1,10,0.15
437,Martinez,MUN,DEF,Tier 1 - Top 6,10,1.4,0.001,0.008,0,0,2,0.1
437,Martinez,MUN,DEF,Tier 2 - Mid Upper,10,1.8,0.002,0.006,0,0,2,0.2
437,Martinez,MUN,DEF,Tier 3 - Rest,18,1.06,0.007,0.026,0,0,1,0.0
442,Maguire,MUN,DEF,Tier 1 - Top 6,10,4.6,0.05,0.004,1,1,4,0.3
442,Maguire,MUN,DEF,Tier 2 - Mid Upper,10,1.6,0.016,0.041,0,1,1,0.0
442,Maguire,MUN,DEF,Tier 3 - Rest,18,1.56,0.026,0.003,0,0,2,0.11
443,Shaw,MUN,DEF,Tier 1 - Top 6,10,3.3,0.03,0.04,0,0,3,0.3
443,Shaw,MUN,DEF,Tier 2 - Mid Upper,10,3.7,0.009,0.021,0,1,4,0.0
443,Shaw,MUN,DEF,Tier 3 - Rest,18,2.39,0.018,0.076,1,0,3,0.0
449,B.Fernandes,MUN,MID,Tier 1 - Top 6,10,6.3,0.267,0.296,2,6,3,1.1
449,B.Fernandes,MUN,MID,Tier 2 - Mid Upper,10,6.7,0.284,0.343,3,7,1,1.4
449,B.Fernandes,MUN,MID,Tier 3 - Rest,18,5.83,0.293,0.327,4,11,3,0.89
450,Cunha,MUN,MID,Tier 1 - Top 6,10,3.8,0.09,0.043,3,1,3,0.3
450,Cunha,MUN,MID,Tier 2 - Mid Upper,10,4.5,0.231,0.142,4,1,1,0.6
450,Cunha,MUN,MID,Tier 3 - Rest,18,3.33,0.205,0.084,3,2,4,0.28
452,Amad,MUN,MID,Tier 1 - Top 6,10,2.5,0.073,0.136,0,2,2,0.3
452,Amad,MUN,MID,Tier 2 - Mid Upper,10,2.3,0.224,0.125,1,1,2,0.1
452,Amad,MUN,MID,Tier 3 - Rest,18,2.39,0.138,0.118,1,2,2,0.17
458,Mainoo,MUN,MID,Tier 1 - Top 6,10,3.0,0.011,0.031,1,2,3,0.2
458,Mainoo,MUN,MID,Tier 2 - Mid Upper,10,1.7,0.013,0.052,0,0,1,0.0
458,Mainoo,MUN,MID,Tier 3 - Rest,18,1.44,0.013,0.024,0,0,2,0.0
469,Pope,NEW,GKP,Tier 1 - Top 6,12,1.33,0.013,0.0,0,1,0,0.0
469,Pope,NEW,GKP,Tier 2 - Mid Upper,8,3.5,0.0,0.0,0,0,2,0.25
469,Pope,NEW,GKP,Tier 3 - Rest,18,2.89,0.0,0.0,0,0,5,0.06
473,Hall,NEW,DEF,Tier 1 - Top 6,12,2.33,0.027,0.033,1,0,1,0.0
473,Hall,NEW,DEF,Tier 2 - Mid Upper,8,1.25,0.002,0.035,0,0,1,0.12
473,Hall,NEW,DEF,Tier 3 - Rest,18,2.28,0.037,0.117,0,2,2,0.17
475,Botman,NEW,DEF,Tier 1 - Top 6,12,1.75,0.068,0.004,0,0,1,0.17
475,Botman,NEW,DEF,Tier 2 - Mid Upper,8,3.5,0.057,0.06,1,0,1,0.25
475,Botman,NEW,DEF,Tier 3 - Rest,18,2.22,0.025,0.018,0,1,3,0.11
476,Burn,NEW,DEF,Tier 1 - Top 6,12,1.5,0.016,0.011,0,1,0,0.0
476,Burn,NEW,DEF,Tier 2 - Mid Upper,8,3.62,0.072,0.012,1,0,2,0.25
476,Burn,NEW,DEF,Tier 3 - Rest,18,2.56,0.017,0.007,0,2,4,0.17
488,Bruno G.,NEW,MID,Tier 1 - Top 6,12,2.83,0.066,0.095,2,2,0,0.25
488,Bruno G.,NEW,MID,Tier 2 - Mid Upper,8,3.38,0.175,0.12,1,2,1,0.25
488,Bruno G.,NEW,MID,Tier 3 - Rest,18,5.17,0.189,0.159,6,3,5,0.94
489,J.Murphy,NEW,MID,Tier 1 - Top 6,12,1.75,0.032,0.105,0,0,3,0.0
489,J.Murphy,NEW,MID,Tier 2 - Mid Upper,8,1.88,0.046,0.05,0,1,1,0.38
489,J.Murphy,NEW,MID,Tier 3 - Rest,18,2.56,0.128,0.056,3,1,4,0.11
491,Tonali,NEW,MID,Tier 1 - Top 6,12,2.25,0.017,0.121,0,1,0,0.08
491,Tonali,NEW,MID,Tier 2 - Mid Upper,8,2.62,0.119,0.111,0,0,2,0.0
491,Tonali,NEW,MID,Tier 3 - Rest,18,1.83,0.033,0.029,0,1,5,0.06
500,Osula,NEW,FWD,Tier 1 - Top 6,12,1.5,0.015,0.004,2,0,0,0.17
500,Osula,NEW,FWD,Tier 2 - Mid Upper,8,2.75,0.15,0.048,2,0,0,0.75
500,Osula,NEW,FWD,Tier 3 - Rest,18,2.0,0.161,0.011,3,1,2,0.28
502,Sels,NFO,GKP,Tier 1 - Top 6,12,3.33,0.0,0.004,0,0,3,0.25
502,Sels,NFO,GKP,Tier 2 - Mid Upper,10,2.7,0.0,0.001,0,0,1,0.0
502,Sels,NFO,GKP,Tier 3 - Rest,16,2.38,0.0,0.0,0,0,3,0.0
505,Milenković,NFO,DEF,Tier 1 - Top 6,12,3.58,0.057,0.008,0,0,4,0.08
505,Milenković,NFO,DEF,Tier 2 - Mid Upper,10,2.7,0.003,0.025,0,0,1,0.0
505,Milenković,NFO,DEF,Tier 3 - Rest,16,3.06,0.007,0.021,0,1,4,0.06
508,N.Williams,NFO,DEF,Tier 1 - Top 6,12,4.25,0.067,0.07,0,3,4,0.5
508,N.Williams,NFO,DEF,Tier 2 - Mid Upper,10,2.7,0.036,0.054,1,0,1,0.3
508,N.Williams,NFO,DEF,Tier 3 - Rest,16,3.12,0.053,0.162,1,0,4,0.38
510,Jair Cunha,NFO,DEF,Tier 1 - Top 6,12,0.25,0.0,0.004,0,0,0,0.0
510,Jair Cunha,NFO,DEF,Tier 2 - Mid Upper,10,0.8,0.027,0.001,0,0,0,0.0
510,Jair Cunha,NFO,DEF,Tier 3 - Rest,16,0.12,0.0,0.0,0,0,0,0.0
511,Morato,NFO,DEF,Tier 1 - Top 6,12,1.0,0.041,0.0,1,0,0,0.0
511,Morato,NFO,DEF,Tier 2 - Mid Upper,10,1.3,0.0,0.01,0,0,0,0.0
511,Morato,NFO,DEF,Tier 3 - Rest,16,1.75,0.052,0.003,0,0,2,0.06
517,Anderson,NFO,MID,Tier 1 - Top 6,12,5.58,0.039,0.128,1,3,5,0.58
517,Anderson,NFO,MID,Tier 2 - Mid Upper,10,4.3,0.07,0.133,1,1,1,0.6
517,Anderson,NFO,MID,Tier 3 - Rest,16,4.38,0.111,0.121,2,1,4,0.19
519,Dominguez,NFO,MID,Tier 1 - Top 6,12,1.25,0.038,0.012,0,0,2,0.0
519,Dominguez,NFO,MID,Tier 2 - Mid Upper,10,1.2,0.016,0.009,0,0,1,0.0
519,Dominguez,NFO,MID,Tier 3 - Rest,16,1.31,0.053,0.034,1,1,0,0.19
526,Igor Jesus,NFO,FWD,Tier 1 - Top 6,12,3.25,0.201,0.074,2,3,5,0.17
526,Igor Jesus,NFO,FWD,Tier 2 - Mid Upper,10,2.6,0.132,0.021,1,1,1,0.3
526,Igor Jesus,NFO,FWD,Tier 3 - Rest,16,3.06,0.172,0.01,3,2,3,0.5
532,Hume,SUN,DEF,Tier 1 - Top 6,12,2.67,0.048,0.052,1,0,2,0.0
532,Hume,SUN,DEF,Tier 2 - Mid Upper,10,2.9,0.051,0.077,1,0,1,0.2
532,Hume,SUN,DEF,Tier 3 - Rest,16,3.06,0.074,0.041,0,1,6,0.25
541,Reinildo,SUN,DEF,Tier 1 - Top 6,12,2.08,0.0,0.016,0,0,2,0.08
541,Reinildo,SUN,DEF,Tier 2 - Mid Upper,10,1.4,0.005,0.004,0,1,1,0.3
541,Reinildo,SUN,DEF,Tier 3 - Rest,16,2.19,0.005,0.024,0,1,3,0.12
547,E.Le Fée,SUN,MID,Tier 1 - Top 6,12,3.0,0.055,0.187,0,2,4,0.25
547,E.Le Fée,SUN,MID,Tier 2 - Mid Upper,10,4.2,0.288,0.198,2,2,2,0.7
547,E.Le Fée,SUN,MID,Tier 3 - Rest,16,4.31,0.105,0.108,3,2,4,0.38
552,Sadiki,SUN,MID,Tier 1 - Top 6,12,2.0,0.059,0.024,0,0,2,0.0
552,Sadiki,SUN,MID,Tier 2 - Mid Upper,10,1.6,0.037,0.035,0,1,1,0.0
552,Sadiki,SUN,MID,Tier 3 - Rest,16,2.5,0.022,0.051,0,1,6,0.0
567,Kinsky,TOT,GKP,Tier 1 - Top 6,10,0.1,0.0,0.0,0,0,0,0.0
567,Kinsky,TOT,GKP,Tier 2 - Mid Upper,10,0.3,0.0,0.0,0,0,0,0.0
567,Kinsky,TOT,GKP,Tier 3 - Rest,18,0.89,0.0,0.0,0,0,2,0.0
568,Pedro Porro,TOT,DEF,Tier 1 - Top 6,10,1.2,0.018,0.067,0,0,1,0.0
568,Pedro Porro,TOT,DEF,Tier 2 - Mid Upper,10,3.6,0.028,0.047,1,0,2,0.3
568,Pedro Porro,TOT,DEF,Tier 3 - Rest,18,3.83,0.033,0.179,0,3,6,0.28
570,Danso,TOT,DEF,Tier 1 - Top 6,10,0.8,0.0,0.006,0,0,0,0.0
570,Danso,TOT,DEF,Tier 2 - Mid Upper,10,0.9,0.012,0.003,0,0,0,0.0
570,Danso,TOT,DEF,Tier 3 - Rest,18,2.56,0.028,0.011,0,0,4,0.06
574,Udogie,TOT,DEF,Tier 1 - Top 6,10,0.6,0.006,0.017,0,1,0,0.0
574,Udogie,TOT,DEF,Tier 2 - Mid Upper,10,0.7,0.002,0.017,0,0,0,0.0
574,Udogie,TOT,DEF,Tier 3 - Rest,18,0.89,0.006,0.021,0,0,1,0.06
575,Van de Ven,TOT,DEF,Tier 1 - Top 6,10,1.0,0.014,0.004,0,0,1,0.0
575,Van de Ven,TOT,DEF,Tier 2 - Mid Upper,10,2.0,0.06,0.008,0,0,2,0.0
575,Van de Ven,TOT,DEF,Tier 3 - Rest,18,4.78,0.116,0.014,4,1,6,0.56
584,Tel,TOT,MID,Tier 1 - Top 6,10,1.3,0.046,0.047,1,0,0,0.0
584,Tel,TOT,MID,Tier 2 - Mid Upper,10,2.4,0.074,0.102,1,2,1,0.3
584,Tel,TOT,MID,Tier 3 - Rest,18,2.28,0.071,0.052,2,0,2,0.22
585,Bentancur,TOT,MID,Tier 1 - Top 6,10,1.0,0.004,0.005,0,0,1,0.0
585,Bentancur,TOT,MID,Tier 2 - Mid Upper,10,3.7,0.016,0.042,1,0,3,0.3
585,Bentancur,TOT,MID,Tier 3 - Rest,18,2.17,0.029,0.021,0,1,4,0.06
597,Richarlison,TOT,FWD,Tier 1 - Top 6,10,3.8,0.285,0.022,5,1,1,0.5
597,Richarlison,TOT,FWD,Tier 2 - Mid Upper,10,3.2,0.291,0.056,3,0,3,0.8
597,Richarlison,TOT,FWD,Tier 3 - Rest,18,2.72,0.16,0.038,3,3,3,0.22
603,Diouf,WHU,DEF,Tier 1 - Top 6,12,2.08,0.01,0.042,0,2,1,0.0
603,Diouf,WHU,DEF,Tier 2 - Mid Upper,10,2.3,0.02,0.072,0,0,2,0.1
603,Diouf,WHU,DEF,Tier 3 - Rest,16,3.5,0.016,0.081,0,4,6,0.12
606,Mavropanos,WHU,DEF,Tier 1 - Top 6,12,3.42,0.095,0.007,1,0,0,0.17
606,Mavropanos,WHU,DEF,Tier 2 - Mid Upper,10,1.8,0.028,0.047,0,0,1,0.0
606,Mavropanos,WHU,DEF,Tier 3 - Rest,16,3.94,0.066,0.009,2,0,5,0.19
613,Souček,WHU,MID,Tier 1 - Top 6,12,2.58,0.137,0.014,2,0,0,0.17
613,Souček,WHU,MID,Tier 2 - Mid Upper,10,1.9,0.153,0.009,1,0,1,0.0
613,Souček,WHU,MID,Tier 3 - Rest,16,3.31,0.159,0.016,2,2,6,0.44
615,Summerville,WHU,MID,Tier 1 - Top 6,12,2.25,0.094,0.043,2,0,1,0.25
615,Summerville,WHU,MID,Tier 2 - Mid Upper,10,1.5,0.187,0.068,0,0,2,0.0
615,Summerville,WHU,MID,Tier 3 - Rest,16,4.25,0.152,0.135,3,4,5,0.44
624,Bowen,WHU,FWD,Tier 1 - Top 6,12,3.75,0.136,0.118,1,4,1,0.25
624,Bowen,WHU,FWD,Tier 2 - Mid Upper,10,4.2,0.253,0.14,3,0,1,0.7
624,Bowen,WHU,FWD,Tier 3 - Rest,16,6.25,0.191,0.15,5,9,6,1.12
634,Mosquera,WOL,DEF,Tier 1 - Top 6,13,1.31,0.085,0.018,0,0,1,0.0
634,Mosquera,WOL,DEF,Tier 2 - Mid Upper,10,2.5,0.046,0.016,0,0,2,0.3
634,Mosquera,WOL,DEF,Tier 3 - Rest,17,1.65,0.055,0.015,0,0,2,0.0
636,S.Bueno,WOL,DEF,Tier 1 - Top 6,13,2.62,0.123,0.042,2,1,1,0.15
636,S.Bueno,WOL,DEF,Tier 2 - Mid Upper,10,2.1,0.01,0.005,0,0,2,0.0
636,S.Bueno,WOL,DEF,Tier 3 - Rest,17,2.71,0.034,0.061,1,2,2,0.12
642,Hee Chan,WOL,MID,Tier 1 - Top 6,13,1.0,0.024,0.013,0,0,0,0.0
642,Hee Chan,WOL,MID,Tier 2 - Mid Upper,10,1.1,0.056,0.022,0,0,1,0.0
642,Hee Chan,WOL,MID,Tier 3 - Rest,17,1.76,0.088,0.069,2,2,1,0.0
643,André,WOL,MID,Tier 1 - Top 6,13,2.69,0.011,0.028,1,0,0,0.31
643,André,WOL,MID,Tier 2 - Mid Upper,10,2.3,0.02,0.024,0,0,2,0.0
643,André,WOL,MID,Tier 3 - Rest,17,2.35,0.013,0.023,0,0,0,0.0
646,J.Gomes,WOL,MID,Tier 1 - Top 6,13,2.69,0.012,0.024,0,0,2,0.08
646,J.Gomes,WOL,MID,Tier 2 - Mid Upper,10,4.4,0.052,0.097,1,2,2,0.5
646,J.Gomes,WOL,MID,Tier 3 - Rest,17,1.94,0.036,0.048,0,0,1,0.0
660,Stach,LEE,MID,Tier 1 - Top 6,12,3.08,0.042,0.082,1,2,1,0.17
660,Stach,LEE,MID,Tier 2 - Mid Upper,11,2.82,0.095,0.087,1,1,4,0.27
660,Stach,LEE,MID,Tier 3 - Rest,17,4.06,0.078,0.148,3,3,2,0.53
668,Xhaka,SUN,MID,Tier 1 - Top 6,12,2.83,0.038,0.082,0,0,3,0.0
668,Xhaka,SUN,MID,Tier 2 - Mid Upper,10,3.0,0.028,0.088,0,3,2,0.0
668,Xhaka,SUN,MID,Tier 3 - Rest,16,3.75,0.017,0.117,1,3,4,0.5
670,Roefs,SUN,GKP,Tier 1 - Top 6,12,3.67,0.0,0.002,0,0,3,0.25
670,Roefs,SUN,GKP,Tier 2 - Mid Upper,10,3.2,0.0,0.002,0,0,2,0.3
670,Roefs,SUN,GKP,Tier 3 - Rest,16,3.75,0.0,0.004,0,0,5,0.38
672,Hato,CHE,DEF,Tier 1 - Top 6,11,0.82,0.0,0.018,0,0,0,0.0
672,Hato,CHE,DEF,Tier 2 - Mid Upper,11,0.73,0.004,0.005,0,0,0,0.0
672,Hato,CHE,DEF,Tier 3 - Rest,18,0.22,0.014,0.022,0,0,0,0.0
673,J.Palhinha,TOT,MID,Tier 1 - Top 6,10,4.3,0.039,0.006,1,2,1,0.4
673,J.Palhinha,TOT,MID,Tier 2 - Mid Upper,10,3.0,0.034,0.045,1,1,1,0.4
673,J.Palhinha,TOT,MID,Tier 3 - Rest,18,2.94,0.111,0.008,3,0,3,0.5
676,Ugochukwu,BUR,MID,Tier 1 - Top 6,13,1.69,0.006,0.004,0,0,0,0.0
676,Ugochukwu,BUR,MID,Tier 2 - Mid Upper,10,2.6,0.041,0.01,1,1,0,0.1
676,Ugochukwu,BUR,MID,Tier 3 - Rest,17,3.0,0.118,0.015,2,2,3,0.24
679,Hermansen,WHU,GKP,Tier 1 - Top 6,12,0.67,0.0,0.0,0,0,0,0.0
679,Hermansen,WHU,GKP,Tier 2 - Mid Upper,10,1.9,0.0,0.0,0,1,1,0.3
679,Hermansen,WHU,GKP,Tier 3 - Rest,16,3.06,0.0,0.001,0,0,6,0.31
683,Alderete,SUN,DEF,Tier 1 - Top 6,12,2.75,0.012,0.023,0,0,3,0.0
683,Alderete,SUN,DEF,Tier 2 - Mid Upper,10,3.0,0.075,0.021,0,0,2,0.1
683,Alderete,SUN,DEF,Tier 3 - Rest,16,3.88,0.045,0.027,1,1,5,0.25
684,Thiaw,NEW,DEF,Tier 1 - Top 6,12,3.42,0.122,0.023,1,0,1,0.17
684,Thiaw,NEW,DEF,Tier 2 - Mid Upper,8,2.0,0.168,0.018,0,0,1,0.0
684,Thiaw,NEW,DEF,Tier 3 - Rest,18,3.83,0.111,0.031,3,0,3,0.56
686,Ngumoha,LIV,MID,Tier 1 - Top 6,10,1.0,0.03,0.031,0,1,1,0.1
686,Ngumoha,LIV,MID,Tier 2 - Mid Upper,10,1.3,0.062,0.025,1,0,0,0.0
686,Ngumoha,LIV,MID,Tier 3 - Rest,18,1.11,0.023,0.081,1,0,1,0.17
691,Calvert-Lewin,LEE,FWD,Tier 1 - Top 6,12,3.33,0.483,0.042,4,0,0,0.5
691,Calvert-Lewin,LEE,FWD,Tier 2 - Mid Upper,11,3.82,0.363,0.017,4,1,3,0.45
691,Calvert-Lewin,LEE,FWD,Tier 3 - Rest,16,4.25,0.43,0.023,7,1,6,0.56
694,Mukiele,SUN,DEF,Tier 1 - Top 6,12,4.33,0.046,0.085,1,1,3,0.42
694,Mukiele,SUN,DEF,Tier 2 - Mid Upper,10,2.4,0.017,0.036,0,1,2,0.0
694,Mukiele,SUN,DEF,Tier 3 - Rest,15,5.0,0.06,0.085,2,3,4,0.4
706,Justin,LEE,DEF,Tier 1 - Top 6,11,1.82,0.009,0.009,0,0,1,0.0
706,Justin,LEE,DEF,Tier 2 - Mid Upper,11,3.27,0.074,0.014,1,0,3,0.27
706,Justin,LEE,DEF,Tier 3 - Rest,16,3.56,0.093,0.061,2,1,3,0.56
708,M.Fernandes,WHU,MID,Tier 1 - Top 6,11,3.18,0.087,0.072,0,1,0,0.18
708,M.Fernandes,WHU,MID,Tier 2 - Mid Upper,10,4.4,0.062,0.054,1,1,2,0.2
708,M.Fernandes,WHU,MID,Tier 3 - Rest,15,3.73,0.027,0.109,2,2,6,0.2
712,Yeremy,CRY,MID,Tier 1 - Top 6,12,1.67,0.145,0.142,0,1,1,0.0
712,Yeremy,CRY,MID,Tier 2 - Mid Upper,10,1.6,0.083,0.172,0,0,2,0.0
712,Yeremy,CRY,MID,Tier 3 - Rest,16,2.62,0.129,0.169,2,1,4,0.19
714,Woltemade,NEW,FWD,Tier 1 - Top 6,11,3.18,0.21,0.042,3,1,2,0.36
714,Woltemade,NEW,FWD,Tier 2 - Mid Upper,7,2.57,0.11,0.019,1,1,1,0.29
714,Woltemade,NEW,FWD,Tier 3 - Rest,17,3.24,0.206,0.055,4,2,5,0.35
719,Lindelöf,AVL,DEF,Tier 1 - Top 6,12,0.75,0.0,0.002,0,0,0,0.0
719,Lindelöf,AVL,DEF,Tier 2 - Mid Upper,6,0.33,0.0,0.005,0,0,0,0.0
719,Lindelöf,AVL,DEF,Tier 3 - Rest,17,1.06,0.016,0.002,0,1,1,0.0
722,Florentino,BUR,MID,Tier 1 - Top 6,11,2.73,0.035,0.007,0,1,0,0.0
722,Florentino,BUR,MID,Tier 2 - Mid Upper,10,2.3,0.004,0.015,0,0,1,0.0
722,Florentino,BUR,MID,Tier 3 - Rest,16,2.19,0.013,0.019,0,1,1,0.0
723,Canvot,CRY,DEF,Tier 1 - Top 6,12,1.0,0.041,0.008,0,0,0,0.0
723,Canvot,CRY,DEF,Tier 2 - Mid Upper,9,3.33,0.047,0.016,0,0,2,0.44
723,Canvot,CRY,DEF,Tier 3 - Rest,16,2.12,0.055,0.009,0,0,3,0.31
724,Geertruida,SUN,DEF,Tier 1 - Top 6,12,1.92,0.023,0.038,0,0,2,0.0
724,Geertruida,SUN,DEF,Tier 2 - Mid Upper,9,2.0,0.011,0.011,0,0,1,0.0
724,Geertruida,SUN,DEF,Tier 3 - Rest,14,1.0,0.03,0.021,0,0,0,0.0
726,Kolo Muani,TOT,FWD,Tier 1 - Top 6,9,2.44,0.086,0.027,1,1,0,0.11
726,Kolo Muani,TOT,FWD,Tier 2 - Mid Upper,9,1.11,0.061,0.037,0,0,2,0.0
726,Kolo Muani,TOT,FWD,Tier 3 - Rest,17,1.18,0.044,0.062,0,0,2,0.0
728,Röhl,EVE,MID,Tier 1 - Top 6,12,1.0,0.027,0.004,0,1,0,0.0
728,Röhl,EVE,MID,Tier 2 - Mid Upper,9,0.56,0.022,0.014,0,0,1,0.0
728,Röhl,EVE,MID,Tier 3 - Rest,14,1.36,0.011,0.012,1,0,1,0.14
730,Brobbey,SUN,FWD,Tier 1 - Top 6,12,2.83,0.203,0.029,2,2,3,0.25
730,Brobbey,SUN,FWD,Tier 2 - Mid Upper,9,2.56,0.229,0.008,2,0,2,0.44
730,Brobbey,SUN,FWD,Tier 3 - Rest,14,2.5,0.109,0.018,3,0,1,0.36
733,Lammens,MUN,GKP,Tier 1 - Top 6,9,3.33,0.0,0.0,0,0,3,0.33
733,Lammens,MUN,GKP,Tier 2 - Mid Upper,10,2.8,0.0,0.0,0,0,2,0.2
733,Lammens,MUN,GKP,Tier 3 - Rest,16,3.19,0.0,0.0,0,0,3,0.38
736,Donnarumma,MCI,GKP,Tier 1 - Top 6,10,3.7,0.0,0.0,0,0,4,0.0
736,Donnarumma,MCI,GKP,Tier 2 - Mid Upper,10,3.2,0.0,0.0,0,0,3,0.3
