element,web_name,team,position,opponent_tier,games_played,avg_pts,avg_xg,avg_xa,total_goals,total_assists,total_cs,avg_bonus
72,Senesi,BOU,DEF,Tier 3 - Rest,19,4.89,0.039,0.156,0,4,7,0.37
73,Smith,BOU,DEF,Tier 1 - Top 6,12,1.58,0.0,0.008,0,1,2,0.0
73,Smith,BOU,DEF,Tier 2 - Mid Upper,9,0.22,0.0,0.0,0,0,0,0.0
73,Smith,BOU,DEF,Tier 3 - Rest,19,1.95,0.0,0.007,0,1,4,0.21
74,Truffert,BOU,DEF,Tier 1 - Top 6,12,2.92,0.019,0.057,0,3,2,0.08
74,Truffert,BOU,DEF,Tier 2 - Mid Upper,9,4.33,0.067,0.079,1,0,2,0.78
74,Truffert,BOU,DEF,Tier 3 - Rest,19,5.47,0.056,0.097,1,3,7,0.68
77,Hill,BOU,DEF,Tier 1 - Top 6,12,2.17,0.016,0.026,0,1,1,0.0
77,Hill,BOU,DEF,Tier 2 - Mid Upper,9,2.78,0.047,0.031,0,1,1,0.0
77,Hill,BOU,DEF,Tier 3 - Rest,19,3.37,0.021,0.032,0,1,6,0.21
82,Semenyo,MCI,MID,Tier 1 - Top 6,11,3.91,0.365,0.065,2,2,4,0.27
82,Semenyo,MCI,MID,Tier 2 - Mid Upper,11,4.91,0.168,0.058,5,1,4,0.36
82,Semenyo,MCI,MID,Tier 3 - Rest,20,6.1,0.294,0.116,11,3,7,0.6
83,O.Dango,BRE,MID,Tier 1 - Top 6,12,2.17,0.192,0.06,1,1,0,0.08
83,O.Dango,BRE,MID,Tier 2 - Mid Upper,8,5.88,0.202,0.13,3,3,3,0.88
83,O.Dango,BRE,MID,Tier 3 - Rest,18,3.5,0.223,0.131,3,4,3,0.44
84,Tavernier,BOU,MID,Tier 1 - Top 6,12,3.5,0.205,0.084,1,2,2,0.17
84,Tavernier,BOU,MID,Tier 2 - Mid Upper,9,3.0,0.428,0.161,2,0,3,0.11
84,Tavernier,BOU,MID,Tier 3 - Rest,19,4.05,0.21,0.144,5,2,6,0.63
