team,team_id,gw,fixture_id,was_home,opponent,fdr,finished,scored,conceded
WHU,19,29,285,0,FUL,3,True,1,0
MCI,13,29,287,1,NFO,3,True,2,2
NFO,16,29,287,0,MCI,5,True,2,2
NEW,15,29,288,1,MUN,4,True,2,1
MUN,14,29,288,0,NEW,3,True,1,2
TOT,18,29,289,1,CRY,3,True,1,3
CRY,8,29,289,0,TOT,3,True,3,1
BUR,3,30,293,1,BOU,3,True,0,0
BOU,4,30,293,0,BUR,2,True,0,0
SUN,17,30,299,1,BHA,3,True,0,1
BHA,6,30,299,0,SUN,3,True,1,0
ARS,1,30,291,1,EVE,3,True,2,0
EVE,9,30,291,0,ARS,5,True,0,2
CHE,7,30,294,1,NEW,3,True,0,1
NEW,15,30,294,0,CHE,4,True,1,0
WHU,19,30,300,1,MCI,4,True,1,1
MCI,13,30,300,0,WHU,3,True,1,1
CRY,8,30,295,1,LEE,2,True,0,0
LEE,11,30,295,0,CRY,3,True,0,0
MUN,14,30,297,1,AVL,3,True,3,1
AVL,2,30,297,0,MUN,4,True,1,3
NFO,16,30,298,1,FUL,2,True,0,0
FUL,10,30,298,0,NFO,3,True,0,0
LIV,12,30,296,1,TOT,3,True,1,1
TOT,18,30,296,0,LIV,4,True,1,1
BRE,5,30,292,1,WOL,1,True,2,2
WOL,20,30,292,0,BRE,3,True,2,2
BOU,4,31,302,1,MUN,4,True,2,2
MUN,14,31,302,0,BOU,3,True,2,2
BHA,6,31,303,1,LIV,4,True,2,1
LIV,12,31,303,0,BHA,4,True,1,2
FUL,10,31,305,1,BUR,1,True,3,1
BUR,3,31,305,0,FUL,3,True,1,3
EVE,9,31,304,1,CHE,3,True,3,0
CHE,7,31,304,0,EVE,3,True,0,3
LEE,11,31,306,1,BRE,3,True,0,0
BRE,5,31,306,0,LEE,3,True,0,0
NEW,15,31,308,1,SUN,2,True,1,2
SUN,17,31,308,0,NEW,3,True,2,1
AVL,2,31,301,1,WHU,2,True,2,0
WHU,19,31,301,0,AVL,4,True,0,2
TOT,18,31,309,1,NFO,3,True,0,3
NFO,16,31,309,0,TOT,3,True,3,0
WHU,19,32,320,1,WOL,1,True,4,0
WOL,20,32,320,0,WHU,3,True,0,4
ARS,1,32,311,1,BOU,3,True,1,2
BOU,4,32,311,0,ARS,5,True,2,1
BRE,5,32,312,1,EVE,3,True,2,2
EVE,9,32,312,0,BRE,3,True,2,2
BUR,3,32,313,1,BHA,3,True,0,2
BHA,6,32,313,0,BUR,2,True,2,0
LIV,12,32,316,1,FUL,2,True,2,0
FUL,10,32,316,0,LIV,4,True,0,2
CRY,8,32,315,1,NEW,3,True,2,1
NEW,15,32,315,0,CRY,3,True,1,2
NFO,16,32,318,1,AVL,3,True,1,1
AVL,2,32,318,0,NFO,3,True,1,1
SUN,17,32,319,1,TOT,3,True,1,0
TOT,18,32,319,0,SUN,3,True,0,1
CHE,7,32,314,1,MCI,4,True,0,3
MCI,13,32,314,0,CHE,4,True,3,0
MUN,14,32,317,1,LEE,2,True,1,2
LEE,11,32,317,0,MUN,4,True,2,1
BRE,5,33,322,1,FUL,2,True,0,0
FUL,10,33,322,0,BRE,3,True,0,0
LEE,11,33,326,1,WOL,1,True,3,0
WOL,20,33,326,0,LEE,3,True,0,3
NEW,15,33,328,1,BOU,3,True,1,2
BOU,4,33,328,0,NEW,3,True,2,1
TOT,18,33,330,1,BHA,3,True,2,2
BHA,6,33,330,0,TOT,3,True,2,2
CHE,7,33,323,1,MUN,4,True,0,1
MUN,14,33,323,0,CHE,4,True,1,0
AVL,2,33,321,1,SUN,2,True,4,3
SUN,17,33,321,0,AVL,4,True,3,4
EVE,9,33,325,1,LIV,4,True,1,2
LIV,12,33,325,0,EVE,3,True,2,1
NFO,16,33,329,1,BUR,1,True,4,1
BUR,3,33,329,0,NFO,3,True,1,4
MCI,13,33,327,1,ARS,4,True,2,1
ARS,1,33,327,0,MCI,5,True,1,2
CRY,8,33,324,1,WHU,2,True,0,0
WHU,19,33,324,0,CRY,3,True,0,0
BHA,6,33,333,1,CHE,3,True,3,0
CHE,7,33,333,0,BHA,4,True,0,3
BOU,4,33,332,1,LEE,2,True,2,2
LEE,11,33,332,0,BOU,3,True,2,2
BUR,3,33,334,1,MCI,4,True,0,1
MCI,13,33,334,0,BUR,2,True,1,0
SUN,17,34,338,1,NFO,3,True,0,5
NFO,16,34,338,0,SUN,3,True,5,0
FUL,10,34,335,1,AVL,3,True,1,0
AVL,2,34,335,0,FUL,3,True,0,1
LIV,12,34,336,1,CRY,3,True,3,1
CRY,8,34,336,0,LIV,4,True,1,3
WHU,19,34,339,1,EVE,3,True,2,1
EVE,9,34,339,0,WHU,3,True,1,2
WOL,20,34,340,1,TOT,3,True,0,1
TOT,18,34,340,0,WOL,2,True,1,0
ARS,1,34,331,1,NEW,3,True,1,0
NEW,15,34,331,0,ARS,5,True,0,1
MUN,14,34,337,1,BRE,3,True,2,1
BRE,5,34,337,0,MUN,4,True,1,2
LEE,11,35,347,1,BUR,1,True,3,1
BUR,3,35,347,0,LEE,3,True,1,3
BRE,5,35,344,1,WHU,2,True,3,0
WHU,19,35,344,0,BRE,3,True,0,3
NEW,15,35,349,1,BHA,3,True,3,1
BHA,6,35,349,0,NEW,3,True,1,3
WOL,20,35,350,1,SUN,2,True,1,1
SUN,17,35,350,0,WOL,2,True,1,1
ARS,1,35,341,1,FUL,2,True,3,0
FUL,10,35,341,0,ARS,5,True,0,3
BOU,4,35,343,1,CRY,3,True,3,0
CRY,8,35,343,0,BOU,3,True,0,3
MUN,14,35,348,1,LIV,4,True,3,2
LIV,12,35,348,0,MUN,4,True,2,3
AVL,2,35,342,1,TOT,3,True,1,2
TOT,18,35,342,0,AVL,4,True,2,1
CHE,7,35,345,1,NFO,3,True,1,3
NFO,16,35,345,0,CHE,4,True,3,1
EVE,9,35,346,1,MCI,4,True,3,3
MCI,13,35,346,0,EVE,3,True,3,3
LIV,12,36,355,1,CHE,3,True,1,1
CHE,7,36,355,0,LIV,4,True,1,1
BHA,6,36,351,1,WOL,1,True,3,0
WOL,20,36,351,0,BHA,4,True,0,3
FUL,10,36,354,1,BOU,3,True,0,1
BOU,4,36,354,0,FUL,3,True,1,0
SUN,17,36,358,1,MUN,4,True,0,0
MUN,14,36,358,0,SUN,3,True,0,0
MCI,13,36,356,1,BRE,3,True,3,0
BRE,5,36,356,0,MCI,5,True,0,3
BUR,3,36,352,1,AVL,3,True,2,2
AVL,2,36,352,0,BUR,2,True,2,2
CRY,8,36,353,1,EVE,3,True,2,2
EVE,9,36,353,0,CRY,3,True,2,2
NFO,16,36,357,1,NEW,3,True,1,1
NEW,15,36,357,0,NFO,3,True,1,1
WHU,19,36,360,1,ARS,4,True,0,1
ARS,1,36,360,0,WHU,3,True,1,0
TOT,18,36,359,1,LEE,2,True,1,1
LEE,11,36,359,0,TOT,3,True,1,1
MCI,13,36,307,1,CRY,3,True,3,0
CRY,8,36,307,0,MCI,5,True,0,3
AVL,2,37,362,1,LIV,4,True,4,2
LIV,12,37,362,0,AVL,4,True,2,4
MUN,14,37,368,1,NFO,3,True,3,2
NFO,16,37,368,0,MUN,4,True,2,3
BRE,5,37,364,1,CRY,3,True,2,2
CRY,8,37,364,0,BRE,3,True,2,2
EVE,9,37,366,1,SUN,2,True,1,3
SUN,17,37,366,0,EVE,3,True,3,1
LEE,11,37,367,1,BHA,3,True,1,0
BHA,6,37,367,0,LEE,3,True,0,1
WOL,20,37,370,1,FUL,2,True,1,1
FUL,10,37,370,0,WOL,2,True,1,1
NEW,15,37,369,1,WHU,2,True,3,1
WHU,19,37,369,0,NEW,3,True,1,3
ARS,1,37,361,1,BUR,1,True,1,0
BUR,3,37,361,0,ARS,5,True,0,1
BOU,4,37,363,1,MCI,4,True,1,1
MCI,13,37,363,0,BOU,3,True,1,1
CHE,7,37,365,1,TOT,3,True,2,1
TOT,18,37,365,0,CHE,4,True,1,2
BHA,6,38,371,1,MUN,4,True,0,3
MUN,14,38,371,0,BHA,4,True,3,0
BUR,3,38,372,1,WOL,1,True,1,1
WOL,20,38,372,0,BUR,2,True,1,1
CRY,8,38,373,1,ARS,4,True,1,2
ARS,1,38,373,0,CRY,3,True,2,1
FUL,10,38,374,1,NEW,3,True,2,0
NEW,15,38,374,0,FUL,3,True,0,2
LIV,12,38,375,1,BRE,3,True,1,1
BRE,5,38,375,0,LIV,4,True,1,1
MCI,13,38,376,1,AVL,3,True,1,2
AVL,2,38,376,0,MCI,5,True,2,1
NFO,16,38,377,1,BOU,3,True,1,1
BOU,4,38,377,0,NFO,3,True,1,1
TOT,18,38,379,1,EVE,3,True,1,0
EVE,9,38,379,0,TOT,3,True,0,1
SUN,17,38,378,1,CHE,3,True,2,1
CHE,7,38,378,0,SUN,3,True,1,2
WHU,19,38,380,1,LEE,2,True,3,0
LEE,11,38,380,0,WHU,3,True,0,3
