team,team_id,gw,fixture_id,was_home,opponent,fdr,finished,scored,conceded
FUL,10,6,51,0,AVL,4,True,1,3
NEW,15,6,58,1,ARS,4,True,1,2
ARS,1,6,58,0,NEW,3,True,2,1
EVE,9,6,55,1,WHU,2,True,1,1
WHU,19,6,55,0,EVE,3,True,1,1
BOU,4,7,63,1,FUL,2,True,3,1
FUL,10,7,63,0,BOU,3,True,1,3
LEE,11,7,67,1,TOT,3,True,1,2
TOT,18,7,67,0,LEE,3,True,2,1
ARS,1,7,61,1,WHU,2,True,2,0
WHU,19,7,61,0,ARS,5,True,0,2
MUN,14,7,68,1,SUN,2,True,2,0
SUN,17,7,68,0,MUN,4,True,0,2
CHE,7,7,65,1,LIV,4,True,2,1
LIV,12,7,65,0,CHE,4,True,1,2
AVL,2,7,62,1,BUR,1,True,2,1
BUR,3,7,62,0,AVL,4,True,1,2
EVE,9,7,66,1,CRY,3,True,2,1
CRY,8,7,66,0,EVE,3,True,1,2
NEW,15,7,69,1,NFO,3,True,2,0
NFO,16,7,69,0,NEW,3,True,0,2
WOL,20,7,70,1,BHA,3,True,1,1
BHA,6,7,70,0,WOL,2,True,1,1
BRE,5,7,64,1,MCI,4,True,0,1
MCI,13,7,64,0,BRE,3,True,1,0
NFO,16,8,77,1,CHE,3,True,0,3
CHE,7,8,77,0,NFO,3,True,3,0
BHA,6,8,71,1,NEW,3,True,2,1
NEW,15,8,71,0,BHA,4,True,1,2
BUR,3,8,72,1,LEE,2,True,2,0
LEE,11,8,72,0,BUR,2,True,0,2
CRY,8,8,73,1,BOU,3,True,3,3
BOU,4,8,73,0,CRY,3,True,3,3
MCI,13,8,76,1,EVE,3,True,2,0
EVE,9,8,76,0,MCI,5,True,0,2
SUN,17,8,78,1,WOL,1,True,2,0
WOL,20,8,78,0,SUN,3,True,0,2
FUL,10,8,74,1,ARS,4,True,0,1
ARS,1,8,74,0,FUL,3,True,1,0
TOT,18,8,79,1,AVL,3,True,1,2
AVL,2,8,79,0,TOT,3,True,2,1
LIV,12,8,75,1,MUN,4,True,1,2
MUN,14,8,75,0,LIV,4,True,2,1
WHU,19,8,80,1,BRE,3,True,0,2
BRE,5,8,80,0,WHU,3,True,2,0
LEE,11,9,87,1,WHU,2,True,2,1
WHU,19,9,87,0,LEE,3,True,1,2
CHE,7,9,85,1,SUN,2,True,1,2
SUN,17,9,85,0,CHE,4,True,2,1
NEW,15,9,89,1,FUL,2,True,2,1
FUL,10,9,89,0,NEW,3,True,1,2
MUN,14,9,88,1,BHA,3,True,4,2
BHA,6,9,88,0,MUN,4,True,2,4
BRE,5,9,84,1,LIV,4,True,3,2
LIV,12,9,84,0,BRE,3,True,2,3
ARS,1,9,81,1,CRY,3,True,1,0
CRY,8,9,81,0,ARS,5,True,0,1
AVL,2,9,82,1,MCI,4,True,1,0
MCI,13,9,82,0,AVL,4,True,0,1
BOU,4,9,83,1,NFO,3,True,2,0
NFO,16,9,83,0,BOU,3,True,0,2
WOL,20,9,90,1,BUR,1,True,2,3
BUR,3,9,90,0,WOL,2,True,3,2
EVE,9,9,86,1,TOT,3,True,0,3
TOT,18,9,86,0,EVE,3,True,3,0
BHA,6,10,91,1,LEE,2,True,3,0
LEE,11,10,91,0,BHA,4,True,0,3
BUR,3,10,92,1,ARS,4,True,0,2
ARS,1,10,92,0,BUR,2,True,2,0
CRY,8,10,93,1,BRE,3,True,2,0
BRE,5,10,93,0,CRY,3,True,0,2
FUL,10,10,94,1,WOL,1,True,3,0
WOL,20,10,94,0,FUL,3,True,0,3
NFO,16,10,97,1,MUN,4,True,2,2
MUN,14,10,97,0,NFO,3,True,2,2
TOT,18,10,99,1,CHE,3,True,0,1
CHE,7,10,99,0,TOT,3,True,1,0
LIV,12,10,95,1,AVL,3,True,2,0
AVL,2,10,95,0,LIV,4,True,0,2
WHU,19,10,100,1,NEW,3,True,3,1
NEW,15,10,100,0,WHU,3,True,1,3
MCI,13,10,96,1,BOU,3,True,3,1
BOU,4,10,96,0,MCI,5,True,1,3
SUN,17,10,98,1,EVE,3,True,1,1
EVE,9,10,98,0,SUN,3,True,1,1
TOT,18,11,109,1,MUN,4,True,2,2
MUN,14,11,109,0,TOT,3,True,2,2
EVE,9,11,105,1,FUL,2,True,2,0
FUL,10,11,105,0,EVE,3,True,0,2
