element,web_name,team,position,fdr_level,games_played,avg_pts,avg_xg,avg_xa,avg_minutes,goals,assists,clean_sheets
67,Petrović,BOU,GKP,5,2,2.0,0.0,0.0,90.0,0,0,0
72,Senesi,BOU,DEF,1,2,6.5,0.16,0.28,90.0,0,0,1
72,Senesi,BOU,DEF,2,7,4.71,0.05,0.23,88.1,0,2,2
72,Senesi,BOU,DEF,3,20,5.4,0.031,0.108,84.0,0,5,8
72,Senesi,BOU,DEF,4,9,2.22,0.041,0.067,90.0,0,0,0
72,Senesi,BOU,DEF,5,2,3.5,0.0,0.1,90.0,0,0,0
73,Smith,BOU,DEF,1,2,3.0,0.0,0.005,45.0,0,0,1
73,Smith,BOU,DEF,2,7,2.14,0.0,0.013,22.0,0,0,2
73,Smith,BOU,DEF,3,20,1.2,0.0,0.002,21.2,0,1,2
73,Smith,BOU,DEF,4,9,1.33,0.0,0.011,44.9,0,1,1
73,Smith,BOU,DEF,5,2,0.5,0.0,0.0,0.5,0,0,0
74,Truffert,BOU,DEF,1,2,5.5,0.0,0.035,90.0,0,0,1
74,Truffert,BOU,DEF,2,7,5.57,0.083,0.123,90.0,1,1,2
74,Truffert,BOU,DEF,3,20,5.15,0.054,0.086,89.3,1,2,8
74,Truffert,BOU,DEF,4,9,2.11,0.021,0.064,86.9,0,2,0
74,Truffert,BOU,DEF,5,2,3.0,0.025,0.01,90.0,0,1,0
77,Hill,BOU,DEF,1,2,0.5,0.0,0.0,1.0,0,0,0
77,Hill,BOU,DEF,2,7,4.0,0.057,0.037,72.9,0,0,3
77,Hill,BOU,DEF,3,20,3.35,0.02,0.032,56.9,0,2,5
77,Hill,BOU,DEF,4,9,1.78,0.023,0.033,60.2,0,1,0
77,Hill,BOU,DEF,5,2,1.5,0.0,0.005,45.0,0,0,0
82,Semenyo,MCI,MID,1,2,7.5,0.255,0.035,90.0,2,0,1
82,Semenyo,MCI,MID,2,7,6.86,0.31,0.223,86.3,4,1,3
82,Semenyo,MCI,MID,3,23,5.3,0.27,0.058,81.6,11,4,6
82,Semenyo,MCI,MID,4,9,3.22,0.303,0.073,87.1,1,1,4
83,O.Dango,BRE,MID,1,2,10.0,0.395,0.605,87.0,1,2,0
83,O.Dango,BRE,MID,2,6,2.67,0.093,0.052,56.7,0,2,2
83,O.Dango,BRE,MID,3,19,3.47,0.22,0.097,55.4,4,2,3
83,O.Dango,BRE,MID,4,9,3.44,0.266,0.061,65.8,2,2,1
83,O.Dango,BRE,MID,5,2,1.5,0.01,0.1,56.0,0,0,0
84,Tavernier,BOU,MID,1,2,6.5,0.125,0.14,83.5,1,0,1
84,Tavernier,BOU,MID,2,7,4.14,0.407,0.193,71.1,2,1,2
84,Tavernier,BOU,MID,3,20,3.25,0.212,0.11,68.2,3,2,7
84,Tavernier,BOU,MID,4,9,3.89,0.326,0.143,77.8,2,1,1
84,Tavernier,BOU,MID,5,2,2.0,0.015,0.04,90.0,0,0,0
85,Adams,BOU,MID,1,2,1.0,0.015,0.005,43.5,0,0,1
85,Adams,BOU,MID,2,7,1.43,0.003,0.031,37.0,0,1,0
85,Adams,BOU,MID,3,20,2.55,0.008,0.02,54.6,1,2,6
85,Adams,BOU,MID,4,9,1.11,0.0,0.013,30.4,0,0,0
85,Adams,BOU,MID,5,2,4.5,0.205,0.015,49.5,1,0,0
90,Scott,BOU,MID,1,2,1.5,0.025,0.015,33.0,0,0,1
90,Scott,BOU,MID,2,7,4.43,0.219,0.139,83.6,1,0,2
